"source_sheet","source_row","section","item","sub_item","prev_metric","current_metric","activity_this_week","next_plan","completed_date","target_date","target_value","request_notes"
"2026-01-16","13","요약","공통","","","","","1. Workflow 세부 개발 진행 
2. 현재 프롬프트 구조 정합성 점검
3. 확장성을 고려한 프롬프트 구조 고도화 진행","","","",""
"2026-01-16","19","요약","고객 발화 요약","","","","","1. LLM
- 전달받은 상담 기준을 프롬프트에 반영","","","",""
"2026-01-16","20","요약","상담사 발화 요약","","","","","1. LLM
- 전달받은 상담 기준을 프롬프트에 반영","","","",""
"2026-01-16","21","요약","상담내용 요약","","","","","1. LLM
- 전달받은 상담 기준을 프롬프트에 반영","","","",""
"2026-01-16","25","요약","상담 후처리 타입 분류","","","","","1. LLM
- 요약 분류기 적용 (프롬프트)","","","",""
"2026-01-23","13","요약","공통","","","","1. Workflow 세부 개발 진행 
2. 현재 프롬프트 구조 정합성 점검
3. 확장성을 고려한 프롬프트 구조 고도화 진행","","","","",""
"2026-01-23","14","요약","이전상담 요약","","","","1","","","","",""
"2026-01-23","19","요약","고객 발화 요약","","","","1. LLM
- 전달받은 상담 기준을 프롬프트에 반영","","","","",""
"2026-01-23","20","요약","상담사 발화 요약","","","","1. LLM
- 전달받은 상담 기준을 프롬프트에 반영","","","","",""
"2026-01-23","21","요약","상담내용 요약","","","","1. LLM
- 전달받은 상담 기준을 프롬프트에 반영","","","","",""
"2026-01-23","22","요약","일반 상담 요약","","","","1. Ragas 기반 1차 정량 테스트 및 베이스라인 수립
2. 프롬프트 템플릿 구조 개편 및 언어 변경 
3. 상세 상담요약 정의 및 기준 반영","1. 신규 프롬프트 정량 재검증
2. 과답 케이스 분석 후 프롬프트 제어 추가","","","",""
"2026-01-23","25","요약","상담 후처리 타입 분류","","","","1. LLM
- 요약 대/중/소 1차 프롬프트 구성
- 1차 테스트 기반으로 2차 프롬프트 구성 중
2. Dify 테스트 환경 구축 
3. 1차 테스트 완료","1. LLM
- 요약 대/중/소 2차 프롬프트 구성 
2. 2차 테스트 및 피드백 확인","","","",""
"2026-01-30","26","요약","일반/민원/개선 분류","","","","1. 프롬프트
- 민원/개선 성능 개선 위한 프롬프트 개선
- 일반 유형 데이터가 과반수 (659건 중 641건)","1. 데이터
- 민원/개선 데이터 추가하여 프롬프트 재검증 및 개선 (현재 '일반; 유형이 과반수)","","","",""
"2026-01-30","27","요약","일반 상담 요약","","","","1. (공통) 신규 프롬프트 정량 재검증
- 한국어 기반의 새로운 프롬프트 구조 적용
- 요약 상세 기준 적용
2. (공통) 과답 케이스 분석 후 프롬프트 제어 추가
- 고객 또는 상담사 발화의 경우 다른 발화자의 내용 제거
- 개인정보 포함 금지
3. (공통) 형식 제어 추가
- 하이픈이나 : 형식을 제거하고 자연스러운 줄글 형태
4. (공통) temperature 옵션 0.2 -> 0 으로 변경
5. 고객발화 프롬프트
- 고객발화 요약 AI -> 고객 문의 의도 추출 AI
- 상담 주체 파악 후 이름 대신 치환
- 문의 목적 파악
6. 상담사발화 프롬프트
- 대화 분석 AI -> 상담사 업무 처리 및 안내 내용 기록 AI
- 보안 준수 사항으로 데이터 파쇄 대상 생성","1. LLM Judge 평가 데이터 분석
2. 과답 개선을 위한 강화 조건들 추가
3. 출력 검증 단계 추가
4. 상담 제목 생성방법에 대한 기준 정립","","","",""
"2026-01-30","28","요약","민원 상담 요약","","","","1. 프롬프트
- 민원 내용만 답변하도록 프롬프트 제어
- 민원 유형 1건으로 데이터 부족","1. 데이터
- 민원 데이터 추가하여 프롬프트 재검증 및 개선 (현재 '민원' 유형 1건)","","","",""
"2026-01-30","29","요약","개선 상담 요약","","","","1. 프롬프트
- 영문에서 한글로 변경, 기본 한국어 프롬프트 기반 작성
- 개선 유형 17건으로 데이터 부족","1. 데이터
- 개선 데이터 추가하여 프롬프트 재검증 및 개선 (현재 '개선' 유형 17건)","","","",""
