"category","item","priority","status","note"
"데이터 및 평가 기준","학습 및 검증 데이터를 확보하고 최신 상태로 유지","높음","진행중","민원/개선 데이터 포함"
"데이터 및 평가 기준","요약 정답 기준과 판정 기준을 명확히 정리","높음","진행중","유형별 기준 정리 필요"
"데이터 및 평가 기준","RAGAS, LLM Judge, 수동 검수 기준을 함께 운영","높음","진행중","평가 체계 통합 필요"
"데이터 및 평가 기준","오답, 과답, 누락 데이터를 기준으로 평가 결과 누적 관리","높음","진행중","오류유형분석과 연계"
"데이터 및 평가 기준","민원/개선 데이터를 추가 반영하고 재평가","높음","진행중","반복적으로 수행된 핵심 작업"
"데이터 및 평가 기준","요약 유형별 베이스라인을 동일 형식으로 기록","중간","미착수","기록 템플릿 필요"
"프롬프트 품질 개선","현재 프롬프트 구조의 정합성 점검","높음","진행중","초기부터 반복 수행"
"프롬프트 품질 개선","프롬프트 개선 포인트를 유형별로 정리","높음","진행중","전체상담/고객발화 등 공통화 가능"
"프롬프트 품질 개선","요약 기준 강화와 제약 조건 반영","높음","진행중","과답/누락 제어 목적"
"프롬프트 품질 개선","Few-shot, 규칙, 키워드 추출 방식 보강","중간","진행중","퓨샷 및 키워드 추출 개선 포함"
"프롬프트 품질 개선","대/중/소 분류와 요약 생성 프롬프트 역할 분리 검토","중간","진행중","후처리 타입 분류 포함"
"프롬프트 품질 개선","과답, 누락, 왜곡을 줄이기 위한 제어 문구 정교화","높음","미착수","프롬프트 규칙화 필요"
"오류 분석 및 개선 루프","오류유형분석 체계 고정","높음","진행중","가장 반복 빈도 높음"
"오류 분석 및 개선 루프","오류 케이스를 정답 가능, 정답 변경 필요, false 데이터 등으로 세분화","높음","진행중","세부 유형 기준 필요"
"오류 분석 및 개선 루프","오류 케이스 분석 결과를 프롬프트에 재반영","높음","진행중","개선 루프 핵심"
"오류 분석 및 개선 루프","유형별 리포트를 작성하고 다음 개선 작업과 연결","중간","진행중","오류케이스 분석 후 리포트"
"오류 분석 및 개선 루프","개선 전후 평가 결과를 같은 기준으로 비교","중간","미착수","주차 간 비교표 필요"
"평가 자동화 및 운영화","LLM Judge 평가를 주기적으로 수행","높음","진행중","날짜 기준 반복 수행"
"평가 자동화 및 운영화","평가 결과를 자동으로 집계하는 구조 정리","중간","미착수","운영 자동화 필요"
"평가 자동화 및 운영화","Dify 또는 Workflow 기반 테스트 환경 안정화","중간","진행중","테스트 환경 구축 이력 존재"
"평가 자동화 및 운영화","외부 품질개선 툴 활용 결과를 내부 프로세스에 반영","중간","진행중","단계별 외부 툴 활용 반복"
"평가 자동화 및 운영화","주차별 개선 내역과 결과를 동일 포맷으로 기록","중간","미착수","운영 템플릿 필요"
"워크플로우 및 구조 개선","Workflow 세부 개발 완료","중간","진행중","공통 항목"
"워크플로우 및 구조 개선","확장성을 고려한 프롬프트 구조로 재정비","높음","진행중","구조 고도화 필요"
"워크플로우 및 구조 개선","요약 생성, 후처리 분류, 평가 단계를 분리해 점검","중간","진행중","파이프라인 분리 필요"
"워크플로우 및 구조 개선","요약 대상별 공통 구조와 예외 규칙 정리","중간","미착수","문서유형 제거 후 공통 규칙화"
