"source_sheet","source_row","section","item","sub_item","prev_metric","current_metric","activity_this_week","next_plan","completed_date","target_date","target_value","request_notes"
"2026-01-09","11","근거 기반 답변","","","-","-","","","","","0.98399999999999999",""
"2026-01-16","3","답변 수용도","공통","TopK, 검색방식, 답변 프롬프트 등
공통 적용 항목","","","1. Top-30 리랭킹 적용
   Top-30 검색 -> 리랭킹 -> Top-5 추출 (모델: gte-multilingual-reranker-base)
2. 하이브리드 검색
- 키워드 조건 : 원문, 핵심키워드, 도메인(선택)
- 벡터 조건 : 원문, 요약(문서명)
3. RAGAS 평가 방식 적용 및 1차 테스트 
4. RAGAS 신뢰도 평가 JUDGE 프롬프트 구축 및 테스트","1. Knowlegde base Hybrid 검색 방식 변경 테스트
  - 복수의 검색 키워드 토큰 가중치 변경 (searchMode: all)
2. Multi-step Reasoning 테스트 
  - Vector Chunk 추출 후 답변과 연관된 키워드를 먼저 추출하여 Chunk와 답변간 Anchoring
3. Hybrid 검색용 Keyword Extraction Step 추가 테스트
  - 질의로부터 검색을 위한 키워드 추출 후 Hybrid 검색하도록 변경 테스트","","","",""
"2026-01-16","4","답변 수용도","업무 매뉴얼","","","","1. 도메인
    1) 도메인 확장: '상품' 카테고리 정의 및 분류를 위한 키워드 추가
    2) 과다 추출을 제한하는 instruction 추가 
    3) 출력 형식을 강제하는 instruction 추가","1. 프롬프트 공통  Rule Few-shot 학습
  - 키워드 경계 정보 제공 테스트 (LLM이 유사하다 인식하지만 실제 다른 항목 Fewshot)
2. Context 정보 추출 Instruction Prompting
  - 업무 매뉴얼 내 예외/제외 조건 필수 포함 지시 (예: 단, 반드시, 예외, 만 해당 등)
3. 답변 예시 Few-shot 학습
  - 다빈도 패턴 질문에 대해 좋은 답변/나쁜 답변 제시 테스트
4. 질의 유형 In-prompt Soft routing 테스트
  - 프롬프트 내에서 질의 유형 분류 후 답변 유도 테스트
5. 질병 분류 정보 Anchoring 테스트
  - 질별 정보에 대한 정의 질문 시 반드시 연결해야 하는 Chunk 지정","","","",""
"2026-01-16","5","답변 수용도","PC 매뉴얼","","","","","1. 지식 베이스 간 정보 혼선 여부 기본 테스트
  - 답변 수행시 다른 지식 베이스(예: 업무매뉴얼)의 Chunk에 의한 답변 실패 영향도 분석","","","",""
"2026-01-16","6","답변 수용도","상담스크립트","","","","","1. 데이터 기본 분석 수행
  - Chunk 내 데이터에 대한 기본 분석","","","",""
"2026-01-16","7","답변 수용도","상품매뉴얼","","","","","1. 데이터 기본 분석 수행
  - Chunk 내 데이터에 대한 기본 분석","","","",""
"2026-01-16","8","답변 수용도","사업방법서","","","","","1. 데이터 기본 분석 수행
  - Chunk 내 데이터에 대한 기본 분석","","","",""
"2026-01-16","9","답변 수용도","약관","","","","","1. 상품간 약관 정보 유사도 분석","","","","API 입력값에 약관 Id가 같이 들어올 수 있도록 AI CSR과 논의 요청"
"2026-01-16","10","답변 수용도","멀티턴 답변","","","","","1. LLM
- 멀티턴 개수 확정","","","","멀티턴 학습 질답세트 제공 요청"
"2026-01-16","11","답변 수용도","예측질의 답변","","","","","","","","","예측질의 학습 질답 세트 제공 요청"
"2026-01-16","12","답변 수용도","유도질의 답변","","","","","","","","","유도질의 학습 질답 세트 제공 요청"
"2026-01-23","3","답변","공통","TopK, 검색방식, 답변 프롬프트 등
공통 적용 항목","","","1. Knowlegde base Hybrid 검색 방식 변경 테스트
  - 복수의 검색 키워드 토큰 가중치 변경 (searchMode: all)
2. Multi-step Reasoning 테스트 
  - Vector Chunk 추출 후 답변과 연관된 키워드를 먼저 추출하여 Chunk와 답변간 Anchoring
3. Hybrid 검색용 Keyword Extraction Step 추가 테스트
  - 질의로부터 검색을 위한 키워드 추출 후 Hybrid 검색하도록 변경 테스트
4. BGE-reranker-v2-m3 모델 성능 테스트
  - (업무매뉴얼 704건 기준) Top40->5 : 92.05%","1.Knowledge base Hybrid 검색 방식 변경 테스트 (2차 약관, 상품매뉴얼 대상)
  - searchMode all/any 관련 각 케이스별 테스트 수행
2. Rerank 시 Score의 급격한 하락 원인 분석 및 개선
   (qwen3 rerank 모델 기반)
3. 자동화 테스트를 위해 각 질문별 정답 Chunk_id 자동 수집 모듈 구현
   - 전체 케이스 Manually 검색 예정
   - 본문 내용 캐싱 후 Vector DB 변경시 캐시 기반으로 정답 Chunk_id 갱신 모듈 개발","","","",""
"2026-01-23","4","답변","업무 매뉴얼","","","","1. 프롬프트 공통  Rule Few-shot 학습
  - 키워드 경계 정보 제공 테스트 (LLM이 유사하다 인식하지만 실제 다른 항목 Fewshot)
2. Context 정보 추출 Instruction Prompting
  - 업무 매뉴얼 내 예외/제외 조건 필수 포함 지시 (예: 단, 반드시, 예외, 만 해당 등)
3. 답변 예시 Few-shot 학습
  - 다빈도 패턴 질문에 대해 좋은 답변/나쁜 답변 제시 테스트
4. 질의 유형 In-prompt Soft routing 테스트
  - 프롬프트 내에서 질의 유형 분류 후 답변 유도 테스트
5. 질병 분류 정보 Anchoring 테스트
  - 질별 정보에 대한 정의 질문 시 반드시 연결해야 하는 Chunk 지정","1. 보험 약어 등 용어집을 활용 Query Expansion 확장
2. 확장된 Prompt 축소 실험
   (프롬프트의 역할 및 행동을 유지하면서 프롬프트를 줄이는 방안 연구)","","","","27개 도메인 분류 중 22개 분류만 데이터 적재 시 메타로 사용되어서 5개는 현재 제외해서 검색을 해야함"
"2026-01-23","5","답변","PC 매뉴얼","","","","1. 지식 베이스 간 정보 혼선 여부 기본 테스트
  - 답변 수행시 다른 지식 베이스(예: 업무매뉴얼)의 Chunk에 의한 답변 실패 영향도 분석","1. RAG(검색)
- (1안) PC매뉴얼 -> 각 이미지별 요약 설명 추가
- (2안) 예시 질문 -> 핵심키워드 추출 -> 키워드 메타 보강
- (3안) 예시 질문 데이터 증강 -> 모델학습을 통한 질문-문서 분류기 적용","","","",""
"2026-01-23","6","답변","상담스크립트","","","","1. 데이터 기본 분석 수행
  - Chunk 내 데이터에 대한 기본 분석","1. 상담 스크립트 용 별도 Query Expansion 테스트
  - 질의 키워드와 대화 내용 간의 유사성 증대 방안 테스트","","","",""
"2026-01-23","7","답변","상품매뉴얼","","","","1. 데이터 기본 분석 수행
  - Chunk 내 데이터에 대한 기본 분석","1. 답변 생성 프롬프트 내 Hallucination 절감 위한 제약 조건 Prompt 테스트
  - 문서 검색율에 비해 잘못된 정보 발화율 높은 이유 연구 및 개선 작업
  - 업무 매뉴얼의 정보에 의해 오염되는 것으로 예측","","","",""
"2026-01-23","8","답변","사업방법서","","","","1. 데이터 기본 분석 수행
  - Chunk 내 데이터에 대한 기본 분석","1. 데이터 기본 분석
  - Baseline 정확도 재검 및 실패 사례 분석","","","",""
