section,item,value,note
basic_info,report_week,2026년 4월 1주차,
basic_info,date,2026-04-02,
basic_info,owner,품질 개선 TF,
basic_info,scope,약관/정책 질의 응답,
summary,key_activity,"평가셋 최신화, 검색 조합 비교, 생성 실패 사례 분리",
summary,biggest_improvement,정답 청크(Chunk) Top-3 진입률 상승,
summary,biggest_risk,FAQ 짧은 질의군 회귀 가능성,
metric,top_k_hit_rate_previous,61,
metric,top_k_hit_rate_current,72,
metric,grounded_answer_rate_previous,72,
metric,grounded_answer_rate_current,79,
metric,hallucination_rate_previous,11,
metric,hallucination_rate_current,9,
metric,regression_pass_rate_previous,96,
metric,regression_pass_rate_current,93,
learning,learning_1,평가셋과 청크 적합성이 확보돼야 실험 결과를 해석할 수 있습니다,
learning,learning_2,검색 성공 후 생성 실패를 분리하니 프롬프트 수정 우선순위가 명확해졌습니다,
learning,learning_3,회귀 테스트를 주간 운영 루프에 넣어야 배포 판단이 안정적입니다,
case,case_1,약관 조건 질의에서 정답 문서 랭킹 밀림,BM25 가중치 부족
case,case_2,조건 1개 누락,요약 프롬프트 과도 축약
case,case_3,FAQ 짧은 질의 오답,노이즈 문서 유입
next_action,next_action_1,FAQ 질의군 회귀 수정,
next_action,next_action_2,생성 실패 케이스북 20건 추가,
next_action,next_action_3,배포 게이트 재점검,
request,decision_needed,retrieval_v2 재배포 여부,
request,support_needed,최신 정책 문서 색인 재생성 지원
