"category","item","priority","status","note"
"데이터 및 평가 기준","학습 및 검증 세트를 확보하고 최신 상태로 유지","높음","미착수","예측질의/유도질의/멀티턴 데이터 포함"
"데이터 및 평가 기준","골든셋, 정답지, Chunk ID 간 정합성 검증","높음","진행중","수동 검수 결과와 연계"
"데이터 및 평가 기준","Baseline 정확도와 실패 사례 재검","높음","진행중","카테고리별 동일 기준 적용"
"데이터 및 평가 기준","평가 지표를 정답률, 오답률, 소답률, 과답률, 검색 매칭률로 통일","높음","진행중","주차별 동일 포맷 기록 필요"
"데이터 및 평가 기준","튜닝 전후 비교 테스트 기준 통일","높음","진행중","전수평가 기준 고정 필요"
"데이터 및 평가 기준","수동 검수와 자동 평가 결과 동시 기록","중간","미착수","검수 로그 템플릿 필요"
"검색 품질 개선","Hybrid Search를 기본 검색 방식 후보로 검증","높음","진행중","Lexical/Vector/BM25와 비교"
"검색 품질 개선","Lexical, Vector, BM25, Reranker 조합별 성능 비교","높음","진행중","검색 조합 매트릭스 필요"
"검색 품질 개선","Top-K, 리랭킹, Weight 조합 최적화","높음","진행중","정답 Chunk 랭킹 진입 기준 확인"
"검색 품질 개선","Query Expansion 적용 여부 및 효과 검증","중간","진행중","도메인별 편차 확인"
"검색 품질 개선","검색 노이즈와 정답 Chunk 랭킹 진입 여부 점검","높음","진행중","실패 케이스북과 연결"
"검색 품질 개선","검색 실패 원인을 데이터, 색인, 메타, 쿼리 단계로 분리","높음","미착수","원인 코드 체계화 필요"
"프롬프트 및 생성 품질 개선","답변 생성 프롬프트 개선 포인트 정리","높음","진행중","Hallucination 및 생성 실패 포함"
"프롬프트 및 생성 품질 개선","Hallucination 절감 제약 조건 적용 및 검증","높음","진행중","약관/상품매뉴얼 우선"
"프롬프트 및 생성 품질 개선","Prompt 축소, 단순화, 구조화 실험 비교","중간","진행중","성능과 응답속도 함께 비교"
"프롬프트 및 생성 품질 개선","Few-shot, Anchoring, Soft routing 적용 여부 검토","중간","진행중","업무 매뉴얼 축적 결과 활용"
"프롬프트 및 생성 품질 개선","검색 성공 후 생성 실패 케이스 별도 관리","높음","미착수","약관 영역 우선"
"프롬프트 및 생성 품질 개선","답변 근거와 출처 생성 흐름 검증","중간","미착수","Workflow 수정 필요 가능"
"컨텍스트 및 워크플로우 개선","Context Refinement 적용 여부 결정","높음","진행중","상위 1~3개 필터 방식 검증"
"컨텍스트 및 워크플로우 개선","상위 컨텍스트만 사용하는 방식의 성능 검증","높음","진행중","정답률과 회귀 동시 체크"
"컨텍스트 및 워크플로우 개선","Self-Verification, Self-Consistency 실효성 비교","중간","진행중","정확도와 지연시간 함께 평가"
"컨텍스트 및 워크플로우 개선","Workflow 분리 또는 분류형 접근이 필요한 영역 식별","중간","진행중","상담스크립트/멀티턴 후보"
"컨텍스트 및 워크플로우 개선","문서 간 오염과 영향도 점검","높음","진행중","업무 매뉴얼 영향 재검 필요"
"모델 튜닝 및 운영 적용","SFT 기반 기본 모델 확정","높음","진행중","후보 모델 비교 결과 반영"
"모델 튜닝 및 운영 적용","DPO, KTO, SimPO, IPO, ORPO/Hinge 전략 비교","높음","진행중","운영 채택 알고리즘 선정 필요"
"모델 튜닝 및 운영 적용","최적 튜닝 모델 전수 평가 결과 기록","높음","진행중","회귀/교정 분석 포함"
"모델 튜닝 및 운영 적용","모델 튜닝 효과와 검색 개선 효과 분리 해석","높음","미착수","실험 설계 재정리 필요"
"모델 튜닝 및 운영 적용","운영 반영 전 회귀 케이스와 부작용 점검","높음","미착수","카테고리별 회귀 추적 필요"
"모델 튜닝 및 운영 적용","타 영역 확장 적용 가능 여부 판단","중간","미착수","업무 매뉴얼 결과 우선 활용"
"오류 분석 및 운영 관리","실패 케이스를 검색 실패와 생성 오류로 분류","높음","진행중","공통 분류 기준 확정 필요"
"오류 분석 및 운영 관리","미매칭 케이스를 문서 미검색과 매칭 오류로 분리","높음","진행중","PC 매뉴얼 우선"
"오류 분석 및 운영 관리","Reference 오기입, 색인 누락, 청크 오매핑 수정","높음","진행중","약관/골든셋 검수 결과 반영"
"오류 분석 및 운영 관리","외부 협의 필요 항목 별도 추적","중간","진행중","약관 ID, 학습 데이터 요청 포함"
"오류 분석 및 운영 관리","주차별 수행, 결과, 회귀, 차주 계획 기록 포맷 통일","중간","미착수","운영 템플릿 필요"
