section,field,value,note
basic_info,experiment_name,약관 질의 검색 조합 개선,
basic_info,date,2026-04-02,
basic_info,owner,검색 품질 담당,
basic_info,scope,약관/정책 질의 응답,
basic_info,references,answer_quality_checklist_report_final.md,
background,current_issue,약관 질의에서 정답 근거 문서가 Top-3 안에 안정적으로 들어오지 않음,
background,issue_location,검색 단계,
background,target_outcome,정답 청크(Chunk) Top-3 진입률 향상,
hypothesis,hypothesis,BM25 + Dense + Reranker 조합을 적용하면 정답 근거 회수율이 높아질 것이다,
hypothesis,rationale,Dense only 검색으로는 약관 조항 키워드가 충분히 반영되지 않음,
change,control_tower,Retrieval,
change,before,Dense only Top-K 5,
change,after,BM25 + Dense + Reranker Top-K 10,
change,affected_queries,"약관, 해지 수수료 예외 조건",
baseline,baseline_version,retrieval_v1,
baseline,evaluation_dataset_version,eval_2026_04_v2,
baseline,chunk_fit_checked,yes,
baseline,manual_review_enabled,yes,
success_metric,top_k_hit_rate_current,61,
success_metric,top_k_hit_rate_target,70,
success_metric,grounded_answer_rate_current,72,
success_metric,grounded_answer_rate_target,78,
success_metric,hallucination_rate_current,11,
success_metric,hallucination_rate_target,8,
success_metric,manual_review_score_current,3.4,
success_metric,manual_review_score_target,4.0,
risk,expected_risk,노이즈 문서 증가,
risk,regression_risk_area,FAQ 짧은 질의,
risk,release_hold_condition,Hallucination(환각) 증가 또는 FAQ 회귀 발생,
artifact,comparison_sheet,retrieval_comparison_v2.xlsx,
artifact,search_codebook_update,planned,
artifact,generation_casebook_update,search success only 케이스 반영,
artifact,regression_test_result,배포 전 수행 예정,
decision,result_classification,Revise,
decision,decision_reason,Top-K Hit Rate 개선 가능성은 높으나 노이즈 추가 점검이 필요,
decision,next_action,메타 필터와 Reranker 임계값 조정 후 재실험
