"source_sheet","source_row","section","item","sub_item","prev_metric","current_metric","activity_this_week","next_plan","completed_date","target_date","target_value","request_notes"
"2026-01-09","2","데이터
전처리","","","-","-","• (업무매뉴얼) 요약 + 문서명 메타 추가","","","","-",""
"2026-01-09","3","데이터
전처리","","","-","-","• 핵심키워드 추출 프롬프트 개선
• (업무매뉴얼) 핵심키워드 필드 값 변경","","","","-",""
"2026-01-09","4","도메인
분류","","","73.7%
(511/693)","82.7%
(575/695)","• 21개 도메인 시스템 프롬프트 개선
  (설명/분류요건/연관 키워드 등)","• 개선된 프롬프트 적용","","","0.98399999999999999",""
"2026-01-09","5","검색
품질","","","-","83.8%
(583/696)","• 벡터 조건 : 원문","","","","0.98399999999999999",""
"2026-01-09","6","검색
품질","","","-","0.82499999999999996","• 벡터 조건 : 원문, 요약, 문서명","","","","",""
"2026-01-09","7","검색
품질","","","","(574/696)","","","","","",""
"2026-01-09","8","검색
품질","","","-","-","","• 키워드 조건 : 원문, 핵심키워드, 도메인","","","",""
"2026-01-09","9","검색
품질","","","-","-","","• 키워드 조건 : 원문, 핵심키워드, 도메인
• 벡터 조건 : 원문, 요약, 문서명","","","",""
"2026-01-09","10","검색
품질","","","","88.4%
(614/695)","• Top-30 검색 -> 리랭킹 -> Top-5 추출
  (모델: TSS 리랭커)","• Qwen3-reranker 리랭커 모델
  -> 리랭킹 테스트 진행 예정
• PC매뉴얼/상담스크립트/상품매뉴얼 baseline 설정","","","0.98399999999999999",""
"2026-01-09","11","근거 기반 답변","","","-","-","","","","","0.98399999999999999",""
"2026-01-09","12","품질 평가 체계","","","-","-","• RAGAS 프레임워크 설치
  -> 4가지 지표 평가 테스트
  -> 1차 테스트 14시간 소요","• RAGAS 스코어 해석 방법론 구축
• 멀티턴 답변 품질평가 및 프롬프트 고도화","","","-",""
