section,item,value,note
basic_info,report_week,,
basic_info,date,,
basic_info,owner,,
basic_info,scope,,
summary,key_activity,,
summary,biggest_improvement,,
summary,biggest_risk,,
metric,top_k_hit_rate_previous,,
metric,top_k_hit_rate_current,,
metric,grounded_answer_rate_previous,,
metric,grounded_answer_rate_current,,
metric,hallucination_rate_previous,,
metric,hallucination_rate_current,,
metric,regression_pass_rate_previous,,
metric,regression_pass_rate_current,,
learning,learning_1,,
learning,learning_2,,
learning,learning_3,,
case,case_1,,
case,case_2,,
case,case_3,,
next_action,next_action_1,,
next_action,next_action_2,,
next_action,next_action_3,,
request,decision_needed,,
request,support_needed,,
